id,Name,type,comments,area_m2,area_km2,
1,Jaffa,City,,349685862.6,349.6858626,
2,Shontsino,City,,425715940.7,425.7159407,
3,Center,City,,386641377.9,386.6413779,
4,Bridge,City,,436424106.2,436.4241062,C:\Users\deanz\Desktop\qgis\colony population density\15km
5,Hertzeliya,City,,395795565,395.795565,
6,Bnei Brit,Rural,,695288237.3,695.2882373,
7,Beit Govrin,Rural,,695288237.3,695.2882373,
8,Segafim,Rural,,695288237.3,695.2882373,
9,Aseret,Rural,,599285407.4,599.2854074,
10,Tinshemet,Rural,,695288237.3,695.2882373,
